face,i,j,center_x_mm,center_y_mm,center_z_mm,orientation
bottom(z=0),1,38,150.0,3850.0,100.0,+z
bottom(z=0),1,39,150.0,3950.0,100.0,+z
bottom(z=0),1,40,150.0,4050.0,100.0,+z
bottom(z=0),1,41,150.0,4150.0,100.0,+z
bottom(z=0),1,42,150.0,4250.0,100.0,+z
bottom(z=0),1,43,150.0,4350.0,100.0,+z
bottom(z=0),1,44,150.0,4450.0,100.0,+z
bottom(z=0),1,45,150.0,4550.0,100.0,+z
bottom(z=0),1,46,150.0,4650.0,100.0,+z
bottom(z=0),1,47,150.0,4750.0,100.0,+z
bottom(z=0),1,48,150.0,4850.0,100.0,+z
bottom(z=0),1,49,150.0,4950.0,100.0,+z
bottom(z=0),1,50,150.0,5050.0,100.0,+z
bottom(z=0),1,51,150.0,5150.0,100.0,+z
bottom(z=0),1,52,150.0,5250.0,100.0,+z
bottom(z=0),1,53,150.0,5350.0,100.0,+z
bottom(z=0),1,54,150.0,5450.0,100.0,+z
bottom(z=0),1,55,150.0,5550.0,100.0,+z
bottom(z=0),1,56,150.0,5650.0,100.0,+z
bottom(z=0),1,57,150.0,5750.0,100.0,+z
bottom(z=0),1,58,150.0,5850.0,100.0,+z
bottom(z=0),1,59,150.0,5950.0,100.0,+z
bottom(z=0),1,60,150.0,6050.0,100.0,+z
bottom(z=0),1,61,150.0,6150.0,100.0,+z
bottom(z=0),1,62,150.0,6250.0,100.0,+z
bottom(z=0),1,63,150.0,6350.0,100.0,+z
bottom(z=0),1,64,150.0,6450.0,100.0,+z
bottom(z=0),1,65,150.0,6550.0,100.0,+z
bottom(z=0),1,66,150.0,6650.0,100.0,+z
bottom(z=0),1,67,150.0,6750.0,100.0,+z
bottom(z=0),1,68,150.0,6850.0,100.0,+z
bottom(z=0),1,69,150.0,6950.0,100.0,+z
bottom(z=0),1,70,150.0,7050.0,100.0,+z
bottom(z=0),1,71,150.0,7150.0,100.0,+z
bottom(z=0),1,72,150.0,7250.0,100.0,+z
bottom(z=0),1,73,150.0,7350.0,100.0,+z
bottom(z=0),1,74,150.0,7450.0,100.0,+z
bottom(z=0),2,0,250.0,50.0,100.0,+z
bottom(z=0),2,1,250.0,150.0,100.0,+z
bottom(z=0),2,2,250.0,250.0,100.0,+z
bottom(z=0),2,3,250.0,350.0,100.0,+z
bottom(z=0),2,4,250.0,450.0,100.0,+z
bottom(z=0),2,5,250.0,550.0,100.0,+z
bottom(z=0),2,6,250.0,650.0,100.0,+z
bottom(z=0),2,7,250.0,750.0,100.0,+z
bottom(z=0),2,8,250.0,850.0,100.0,+z
bottom(z=0),2,9,250.0,950.0,100.0,+z
bottom(z=0),2,10,250.0,1050.0,100.0,+z
bottom(z=0),2,11,250.0,1150.0,100.0,+z
bottom(z=0),2,12,250.0,1250.0,100.0,+z
bottom(z=0),2,13,250.0,1350.0,100.0,+z
bottom(z=0),2,14,250.0,1450.0,100.0,+z
bottom(z=0),2,15,250.0,1550.0,100.0,+z
bottom(z=0),2,16,250.0,1650.0,100.0,+z
bottom(z=0),2,17,250.0,1750.0,100.0,+z
bottom(z=0),2,18,250.0,1850.0,100.0,+z
bottom(z=0),2,19,250.0,1950.0,100.0,+z
bottom(z=0),2,20,250.0,2050.0,100.0,+z
bottom(z=0),2,21,250.0,2150.0,100.0,+z
bottom(z=0),2,22,250.0,2250.0,100.0,+z
bottom(z=0),2,23,250.0,2350.0,100.0,+z
bottom(z=0),2,24,250.0,2450.0,100.0,+z
bottom(z=0),2,25,250.0,2550.0,100.0,+z
bottom(z=0),2,26,250.0,2650.0,100.0,+z
bottom(z=0),2,27,250.0,2750.0,100.0,+z
bottom(z=0),2,28,250.0,2850.0,100.0,+z
bottom(z=0),2,29,250.0,2950.0,100.0,+z
bottom(z=0),2,30,250.0,3050.0,100.0,+z
bottom(z=0),2,31,250.0,3150.0,100.0,+z
bottom(z=0),2,32,250.0,3250.0,100.0,+z
bottom(z=0),2,33,250.0,3350.0,100.0,+z
bottom(z=0),2,34,250.0,3450.0,100.0,+z
bottom(z=0),2,35,250.0,3550.0,100.0,+z
bottom(z=0),2,36,250.0,3650.0,100.0,+z
bottom(z=0),2,37,250.0,3750.0,100.0,+z
bottom(z=0),2,38,250.0,3850.0,100.0,+z
bottom(z=0),2,39,250.0,3950.0,100.0,+z
bottom(z=0),2,40,250.0,4050.0,100.0,+z
bottom(z=0),2,41,250.0,4150.0,100.0,+z
bottom(z=0),2,42,250.0,4250.0,100.0,+z
bottom(z=0),2,43,250.0,4350.0,100.0,+z
bottom(z=0),2,44,250.0,4450.0,100.0,+z
bottom(z=0),2,45,250.0,4550.0,100.0,+z
bottom(z=0),2,46,250.0,4650.0,100.0,+z
bottom(z=0),2,47,250.0,4750.0,100.0,+z
bottom(z=0),2,48,250.0,4850.0,100.0,+z
bottom(z=0),2,49,250.0,4950.0,100.0,+z
bottom(z=0),2,50,250.0,5050.0,100.0,+z
bottom(z=0),2,51,250.0,5150.0,100.0,+z
bottom(z=0),2,52,250.0,5250.0,100.0,+z
bottom(z=0),2,53,250.0,5350.0,100.0,+z
bottom(z=0),2,54,250.0,5450.0,100.0,+z
bottom(z=0),2,55,250.0,5550.0,100.0,+z
bottom(z=0),2,56,250.0,5650.0,100.0,+z
bottom(z=0),2,57,250.0,5750.0,100.0,+z
bottom(z=0),2,58,250.0,5850.0,100.0,+z
bottom(z=0),2,59,250.0,5950.0,100.0,+z
bottom(z=0),2,60,250.0,6050.0,100.0,+z
bottom(z=0),2,61,250.0,6150.0,100.0,+z
bottom(z=0),2,62,250.0,6250.0,100.0,+z
bottom(z=0),2,63,250.0,6350.0,100.0,+z
bottom(z=0),2,64,250.0,6450.0,100.0,+z
bottom(z=0),2,65,250.0,6550.0,100.0,+z
bottom(z=0),2,66,250.0,6650.0,100.0,+z
bottom(z=0),2,67,250.0,6750.0,100.0,+z
bottom(z=0),2,68,250.0,6850.0,100.0,+z
bottom(z=0),2,69,250.0,6950.0,100.0,+z
bottom(z=0),2,70,250.0,7050.0,100.0,+z
bottom(z=0),2,71,250.0,7150.0,100.0,+z
bottom(z=0),2,72,250.0,7250.0,100.0,+z
bottom(z=0),2,73,250.0,7350.0,100.0,+z
bottom(z=0),2,74,250.0,7450.0,100.0,+z
bottom(z=0),3,0,350.0,50.0,100.0,+z
bottom(z=0),3,1,350.0,150.0,100.0,+z
bottom(z=0),3,2,350.0,250.0,100.0,+z
bottom(z=0),3,3,350.0,350.0,100.0,+z
